source_system,schema,source_table,source_column
ccms,pga,cen_cust_cyber,cyber_txt
ccms,pga,cen_cust_phone,phone_num
ccms,pga,cen_cust_mast,first_nm
ccms,pga,cen_cust_mast,last_nm
ccms,pga,cen_cust_mast,birth_dt
ccms,pga,cen_cust_addr,street1
ccms,pga,cen_cust_addr,street2
ccms,pga,cen_cust_addr,street3
ccms,pga,cen_cust_addr,street4
ccms,pga,cen_cust_addr,city_nm
ccms,pga,cen_cust_addr,state_cd
ccms,pga,cen_cust_addr,country_nm
ccms,pga,cen_cust_addr,postal_cd
ccms,pga,evt_reg_tourn_info,home_course
ccms,pga,evt_reg_tourn_info,handicap
ccms,pga,cen_cust_mast,sex
ccms,pga,evt_reg_hdr,null
coach_tools,reporting,contacts,email
coach_tools,reporting,contacts,phone_number
coach_tools,public,push_notification_device_tokens,device_type
coach_tools,reporting,accounts,null
coach_tools,reporting,payment_accounts,null
coach_tools,reporting,students,first_name
coach_tools,reporting,students,last_name
coach_tools,reporting,contacts,address1
coach_tools,reporting,contacts,address2
coach_tools,reporting,contacts,city
coach_tools,reporting,contacts,state
coach_tools,reporting,contacts,zip
coach_tools,public,coach_connections,null
coach_tools,reporting,demographic_profiles,gender
coach_tools,reporting,representatives,relationship_type
salesforce-career-services,null,salesforce-career-services-contact,email
salesforce-career-services,null,salesforce-career-services-contact,phone
salesforce-career-services,null,salesforce-career-services-contact,mobilephone
salesforce-career-services,null,salesforce-career-services-contact,homephone
salesforce-career-services,null,salesforce-career-services-contact,firstname
salesforce-career-services,null,salesforce-career-services-contact,lastname
salesforce-career-services,null,salesforce-career-services-contact,birthdate
salesforce-career-services,null,salesforce-career-services-contact,mailingstreet
salesforce-career-services,null,salesforce-career-services-contact,mailingcity
salesforce-career-services,null,salesforce-career-services-contact,mailingstate
salesforce-career-services,null,salesforce-career-services-contact,mailingcountry
salesforce-career-services,null,salesforce-career-services-contact,mailingpostalcode
salesforce-career-services,null,salesforce-career-services-contact,gender__c
splash_that,null,splash_that_events,title
splash_that,null,splash_that_events,id
splash_that,null,splash_that_events,description
splash_that,null,splash_that_events,event_start
splash_that,null,splash_that_events,event_end
splash_that,null,splash_that_events,venue_name
splash_that,null,splash_that_events,event_setting.rsvp_open
splash_that,null,splash_that_events,event_setting.wait_list
splash_that,null,splash_that_events,event_setting.rsvp_closed_at
splash_that,null,splash_that_events,address
splash_that,null,splash_that_events,city
splash_that,null,splash_that_events,state
splash_that,null,splash_that_events,zip_code
splash_that,null,splash_that_events,country
splash_that,null,splash_that_group_contacts,contact.first_name
splash_that,null,splash_that_group_contacts,contact.last_name
splash_that,null,splash_that_group_contacts,contact.primary_email
splash_that,null,splash_that_group_contacts,event_rsvp.date_rsvped
splash_that,null,splash_that_group_contacts,event_rsvp.attending
splash_that,null,splash_that_group_contacts,event_rsvp.checked_in
splash_that,null,splash_that_group_contacts,event_rsvp.vip
splash_that,null,splash_that_group_contacts,event_rsvp.waitlist
splash_that,null,splash_that_event_details,null
golf_genius,null,golf_genius_master_roster,first_name
golf_genius,null,golf_genius_master_roster,last_name
golf_genius,null,golf_genius_master_roster,handicap.handicap_index
golf_genius,null,golf_genius_master_roster,custom_fields.country
golf_genius,null,golf_genius_master_roster,custom_fields.state
golf_genius,null,golf_genius_master_roster,custom_fields.zip_postal_code
golf_genius,null,golf_genius_master_roster,custom_fields.date_of_birth
golf_genius,null,golf_genius_master_roster,custom_fields.gender
golf_genius,null,golf_genius_master_roster,custom_fields.address_1
golf_genius,null,golf_genius_master_roster,custom_fields.address_2
golf_genius,null,golf_genius_master_roster,custom_fields.city
golf_genius,null,golf_genius_master_roster,team_name
axs,ticketing,customers,first_name
axs,ticketing,customers,last_name
axs,ticketing,customers,email
axs,ticketing,customers,address1
axs,ticketing,customers,address2
axs,ticketing,customers,city
axs,ticketing,customers,state
axs,ticketing,customers,zip
axs,ticketing,customers,country
axs,ticketing,customers,birthday
axs,ticketing,customers,is_opt_in
axs,ticketing,reservations_sold,order_unique_id
axs,ticketing,reservations_sold,product_unique_id
axs,ticketing,price_chart,print_price
axs,ticketing,reservations_sold,amount_gross
axs,ticketing,venues,venue_name
axs,ticketing,venues,venue_city
axs,ticketing,venues,venue_state
axs,ticketing,venues,venue_zip
axs,ticketing,venues,venue_country
axs,ticketing,venues,venue_address1
axs,ticketing,venues,venue_address2
axs,ticketing,orders,order_unique_id
axs,ticketing,orders,address_unique_id
axs,ticketing,orders,order_amount
axs,ticketing,orders,delivery_email
axs,ticketing,scans,scan_datetime
axs,ticketing,events,event_name
axs,ticketing,events,event_unique_id
axs,ticketing,events,event_datetime
axs,ticketing,events,created_on
axs,ticketing,events,modified_datetime
axs,ticketing,payments,address1
axs,ticketing,payments,address2
axs,ticketing,payments,city
axs,ticketing,payments,state
axs,ticketing,payments,zip
axs,ticketing,payments,country
iterable_api,null,iterable_api_users,email
iterable_api,null,iterable_api_users,firstName
iterable_api,null,iterable_api_users,lastName
iterable_api,null,iterable_api_users,address1
iterable_api,null,iterable_api_users,address2
iterable_api,null,iterable_api_users,city
iterable_api,null,iterable_api_users,stateRegion
iterable_api,null,iterable_api_users,country
iterable_api,null,iterable_api_users,postalCode
iterable_api,null,iterable_api_users,totalTicketSpend
iterable_api,null,iterable_api_users,signupDate
iterable_api,null,iterable_api_campaigns,id
iterable_api,null,iterable_api_campaigns,name
iterable_api,null,iterable_api_campaigns,templateId
